year,month,day,hour,tide,date
1986,1,4,13,187.0,1986-01-04 13:00:00+00:00
1986,1,4,14,181.0,1986-01-04 14:00:00+00:00
1986,1,4,15,163.0,1986-01-04 15:00:00+00:00
1986,1,4,16,138.0,1986-01-04 16:00:00+00:00
1986,1,4,17,112.0,1986-01-04 17:00:00+00:00
1986,1,4,18,94.0,1986-01-04 18:00:00+00:00
1986,1,4,19,78.0,1986-01-04 19:00:00+00:00
1986,1,4,20,67.0,1986-01-04 20:00:00+00:00
1986,1,4,21,67.0,1986-01-04 21:00:00+00:00
1986,1,4,22,75.0,1986-01-04 22:00:00+00:00
1986,1,4,23,96.0,1986-01-04 23:00:00+00:00
1986,1,5,0,115.0,1986-01-05 00:00:00+00:00
1986,1,5,1,126.0,1986-01-05 01:00:00+00:00
1986,1,5,2,130.0,1986-01-05 02:00:00+00:00
1986,1,5,3,130.0,1986-01-05 03:00:00+00:00
1986,1,5,4,118.0,1986-01-05 04:00:00+00:00
1986,1,5,5,107.0,1986-01-05 05:00:00+00:00
1986,1,5,6,94.0,1986-01-05 06:00:00+00:00
1986,1,5,7,93.0,1986-01-05 07:00:00+00:00
1986,1,5,8,96.0,1986-01-05 08:00:00+00:00
1986,1,5,9,106.0,1986-01-05 09:00:00+00:00
1986,1,5,10,122.0,1986-01-05 10:00:00+00:00
1986,1,5,11,138.0,1986-01-05 11:00:00+00:00
1986,1,5,12,162.0,1986-01-05 12:00:00+00:00
1986,1,5,13,176.0,1986-01-05 13:00:00+00:00
1986,1,5,14,182.0,1986-01-05 14:00:00+00:00
1986,1,5,15,174.0,1986-01-05 15:00:00+00:00
1986,1,5,16,155.0,1986-01-05 16:00:00+00:00
1986,1,5,17,139.0,1986-01-05 17:00:00+00:00
1986,1,5,18,120.0,1986-01-05 18:00:00+00:00
1986,1,5,19,102.0,1986-01-05 19:00:00+00:00
1986,1,5,20,83.0,1986-01-05 20:00:00+00:00
1986,1,5,21,78.0,1986-01-05 21:00:00+00:00
1986,1,5,22,78.0,1986-01-05 22:00:00+00:00
1986,1,5,23,82.0,1986-01-05 23:00:00+00:00
1986,1,6,0,110.0,1986-01-06 00:00:00+00:00
1986,1,6,1,130.0,1986-01-06 01:00:00+00:00
1986,1,6,2,144.0,1986-01-06 02:00:00+00:00
1986,1,6,3,146.0,1986-01-06 03:00:00+00:00
1986,1,6,4,134.0,1986-01-06 04:00:00+00:00
1986,1,6,5,117.0,1986-01-06 05:00:00+00:00
1986,1,6,6,99.0,1986-01-06 06:00:00+00:00
1986,1,6,7,90.0,1986-01-06 07:00:00+00:00
1986,1,6,8,78.0,1986-01-06 08:00:00+00:00
1986,1,6,9,80.0,1986-01-06 09:00:00+00:00
1986,1,6,10,85.0,1986-01-06 10:00:00+00:00
1986,1,6,11,94.0,1986-01-06 11:00:00+00:00
1986,1,6,12,117.0,1986-01-06 12:00:00+00:00
1986,1,6,13,142.0,1986-01-06 13:00:00+00:00
1986,1,6,14,160.0,1986-01-06 14:00:00+00:00
1986,1,6,15,165.0,1986-01-06 15:00:00+00:00
1986,1,6,16,165.0,1986-01-06 16:00:00+00:00
1986,1,6,17,154.0,1986-01-06 17:00:00+00:00
1986,1,6,18,141.0,1986-01-06 18:00:00+00:00
1986,1,6,19,125.0,1986-01-06 19:00:00+00:00
1986,1,6,20,114.0,1986-01-06 20:00:00+00:00
1986,1,6,21,106.0,1986-01-06 21:00:00+00:00
1986,1,6,22,101.0,1986-01-06 22:00:00+00:00
1986,1,6,23,107.0,1986-01-06 23:00:00+00:00
1986,1,7,0,118.0,1986-01-07 00:00:00+00:00
1986,1,7,1,142.0,1986-01-07 01:00:00+00:00
1986,1,7,2,166.0,1986-01-07 02:00:00+00:00
1986,1,7,3,176.0,1986-01-07 03:00:00+00:00
1986,1,7,4,174.0,1986-01-07 04:00:00+00:00
1986,1,7,5,165.0,1986-01-07 05:00:00+00:00
1986,1,7,6,150.0,1986-01-07 06:00:00+00:00
1986,1,7,7,136.0,1986-01-07 07:00:00+00:00
1986,1,7,8,115.0,1986-01-07 08:00:00+00:00
1986,1,7,9,96.0,1986-01-07 09:00:00+00:00
1986,1,7,10,83.0,1986-01-07 10:00:00+00:00
1986,1,7,11,78.0,1986-01-07 11:00:00+00:00
1986,1,7,12,99.0,1986-01-07 12:00:00+00:00
1986,1,7,13,109.0,1986-01-07 13:00:00+00:00
1986,1,7,14,128.0,1986-01-07 14:00:00+00:00
1986,1,7,15,150.0,1986-01-07 15:00:00+00:00
1986,1,7,16,157.0,1986-01-07 16:00:00+00:00
1986,1,7,17,152.0,1986-01-07 17:00:00+00:00
1986,1,7,18,146.0,1986-01-07 18:00:00+00:00
1986,1,7,19,130.0,1986-01-07 19:00:00+00:00
1986,1,7,20,122.0,1986-01-07 20:00:00+00:00
1986,1,7,21,115.0,1986-01-07 21:00:00+00:00
1986,1,7,22,117.0,1986-01-07 22:00:00+00:00
1986,1,7,23,115.0,1986-01-07 23:00:00+00:00
1986,1,8,0,130.0,1986-01-08 00:00:00+00:00
1986,1,8,1,150.0,1986-01-08 01:00:00+00:00
1986,1,8,2,176.0,1986-01-08 02:00:00+00:00
1986,1,8,3,205.0,1986-01-08 03:00:00+00:00
1986,1,8,4,213.0,1986-01-08 04:00:00+00:00
1986,1,8,5,216.0,1986-01-08 05:00:00+00:00
1986,1,8,6,211.0,1986-01-08 06:00:00+00:00
1986,1,8,7,184.0,1986-01-08 07:00:00+00:00
1986,1,8,8,157.0,1986-01-08 08:00:00+00:00
1986,1,8,9,142.0,1986-01-08 09:00:00+00:00
1986,1,8,10,115.0,1986-01-08 10:00:00+00:00
1986,1,8,11,107.0,1986-01-08 11:00:00+00:00
1986,1,8,12,90.0,1986-01-08 12:00:00+00:00
1986,1,8,13,91.0,1986-01-08 13:00:00+00:00
1986,1,11,14,54.0,1986-01-11 14:00:00+00:00
1986,1,11,15,51.0,1986-01-11 15:00:00+00:00
1986,1,11,16,64.0,1986-01-11 16:00:00+00:00
1986,1,11,17,77.0,1986-01-11 17:00:00+00:00
1986,1,11,18,117.0,1986-01-11 18:00:00+00:00
1986,1,11,19,138.0,1986-01-11 19:00:00+00:00
1986,1,11,20,141.0,1986-01-11 20:00:00+00:00
1986,1,11,21,144.0,1986-01-11 21:00:00+00:00
1986,1,11,22,139.0,1986-01-11 22:00:00+00:00
1986,1,11,23,134.0,1986-01-11 23:00:00+00:00
1986,1,12,0,128.0,1986-01-12 00:00:00+00:00
1986,1,12,1,118.0,1986-01-12 01:00:00+00:00
1986,1,12,2,120.0,1986-01-12 02:00:00+00:00
1986,1,12,3,131.0,1986-01-12 03:00:00+00:00
1986,1,12,4,126.0,1986-01-12 04:00:00+00:00
1986,1,12,5,144.0,1986-01-12 05:00:00+00:00
1986,1,12,6,192.0,1986-01-12 06:00:00+00:00
1986,1,12,7,219.0,1986-01-12 07:00:00+00:00
1986,1,12,8,216.0,1986-01-12 08:00:00+00:00
1986,1,12,9,208.0,1986-01-12 09:00:00+00:00
1986,1,12,10,189.0,1986-01-12 10:00:00+00:00
1986,1,12,11,152.0,1986-01-12 11:00:00+00:00
1986,1,12,12,122.0,1986-01-12 12:00:00+00:00
1986,1,12,13,117.0,1986-01-12 13:00:00+00:00
1986,1,12,14,78.0,1986-01-12 14:00:00+00:00
1986,1,12,15,48.0,1986-01-12 15:00:00+00:00
1986,1,12,16,72.0,1986-01-12 16:00:00+00:00
1986,1,12,17,66.0,1986-01-12 17:00:00+00:00
1986,1,12,18,94.0,1986-01-12 18:00:00+00:00
1986,1,12,19,115.0,1986-01-12 19:00:00+00:00
1986,1,12,20,122.0,1986-01-12 20:00:00+00:00
1986,1,12,21,133.0,1986-01-12 21:00:00+00:00
1986,1,12,22,160.0,1986-01-12 22:00:00+00:00
1986,1,12,23,158.0,1986-01-12 23:00:00+00:00
1986,1,13,0,147.0,1986-01-13 00:00:00+00:00
1986,1,13,1,133.0,1986-01-13 01:00:00+00:00
1986,1,13,2,126.0,1986-01-13 02:00:00+00:00
1986,1,13,3,125.0,1986-01-13 03:00:00+00:00
1986,1,13,4,136.0,1986-01-13 04:00:00+00:00
1986,1,13,5,138.0,1986-01-13 05:00:00+00:00
1986,1,13,6,157.0,1986-01-13 06:00:00+00:00
1986,1,13,7,194.0,1986-01-13 07:00:00+00:00
1986,1,13,8,221.0,1986-01-13 08:00:00+00:00
1986,1,13,9,230.0,1986-01-13 09:00:00+00:00
1986,1,13,10,222.0,1986-01-13 10:00:00+00:00
1986,1,13,11,194.0,1986-01-13 11:00:00+00:00
1986,1,13,12,158.0,1986-01-13 12:00:00+00:00
1986,1,13,13,126.0,1986-01-13 13:00:00+00:00
1986,1,13,14,110.0,1986-01-13 14:00:00+00:00
1986,1,13,15,96.0,1986-01-13 15:00:00+00:00
1986,1,13,16,85.0,1986-01-13 16:00:00+00:00
1986,1,13,17,67.0,1986-01-13 17:00:00+00:00
1986,1,13,18,66.0,1986-01-13 18:00:00+00:00
1986,1,13,19,94.0,1986-01-13 19:00:00+00:00
1986,1,13,20,126.0,1986-01-13 20:00:00+00:00
1986,1,13,21,136.0,1986-01-13 21:00:00+00:00
1986,1,13,22,141.0,1986-01-13 22:00:00+00:00
1986,1,13,23,141.0,1986-01-13 23:00:00+00:00
1986,1,14,0,142.0,1986-01-14 00:00:00+00:00
1986,1,14,1,126.0,1986-01-14 01:00:00+00:00
1986,1,14,2,114.0,1986-01-14 02:00:00+00:00
1986,1,14,3,104.0,1986-01-14 03:00:00+00:00
1986,1,14,4,94.0,1986-01-14 04:00:00+00:00
1986,1,14,5,99.0,1986-01-14 05:00:00+00:00
1986,1,14,6,106.0,1986-01-14 06:00:00+00:00
1986,1,14,7,138.0,1986-01-14 07:00:00+00:00
1986,1,14,8,174.0,1986-01-14 08:00:00+00:00
1986,1,14,9,200.0,1986-01-14 09:00:00+00:00
1986,1,14,10,198.0,1986-01-14 10:00:00+00:00
1986,1,14,11,179.0,1986-01-14 11:00:00+00:00
1986,1,14,12,157.0,1986-01-14 12:00:00+00:00
1986,1,14,13,128.0,1986-01-14 13:00:00+00:00
1986,1,14,14,104.0,1986-01-14 14:00:00+00:00
1986,1,14,15,80.0,1986-01-14 15:00:00+00:00
1986,1,14,16,62.0,1986-01-14 16:00:00+00:00
1986,1,14,17,48.0,1986-01-14 17:00:00+00:00
1986,1,14,18,38.0,1986-01-14 18:00:00+00:00
1986,1,14,19,40.0,1986-01-14 19:00:00+00:00
1986,1,14,20,62.0,1986-01-14 20:00:00+00:00
1986,1,14,21,104.0,1986-01-14 21:00:00+00:00
1986,1,14,22,112.0,1986-01-14 22:00:00+00:00
1986,1,14,23,125.0,1986-01-14 23:00:00+00:00
1986,1,15,0,110.0,1986-01-15 00:00:00+00:00
1986,1,15,1,101.0,1986-01-15 01:00:00+00:00
1986,1,15,2,91.0,1986-01-15 02:00:00+00:00
1986,1,15,3,85.0,1986-01-15 03:00:00+00:00
1986,1,15,4,82.0,1986-01-15 04:00:00+00:00
1986,1,15,5,82.0,1986-01-15 05:00:00+00:00
1986,1,15,6,85.0,1986-01-15 06:00:00+00:00
1986,1,15,7,107.0,1986-01-15 07:00:00+00:00
1986,1,15,8,134.0,1986-01-15 08:00:00+00:00
1986,1,15,9,173.0,1986-01-15 09:00:00+00:00
1986,1,15,10,192.0,1986-01-15 10:00:00+00:00
1986,1,15,11,198.0,1986-01-15 11:00:00+00:00
1986,1,15,12,192.0,1986-01-15 12:00:00+00:00
1986,1,15,13,173.0,1986-01-15 13:00:00+00:00
1986,2,5,13,101.0,1986-02-05 13:00:00+00:00
1986,2,5,14,122.0,1986-02-05 14:00:00+00:00
1986,2,5,15,138.0,1986-02-05 15:00:00+00:00
1986,2,5,16,146.0,1986-02-05 16:00:00+00:00
1986,2,5,17,142.0,1986-02-05 17:00:00+00:00
1986,2,5,18,133.0,1986-02-05 18:00:00+00:00
1986,2,5,19,125.0,1986-02-05 19:00:00+00:00
1986,2,5,20,118.0,1986-02-05 20:00:00+00:00
1986,2,5,21,115.0,1986-02-05 21:00:00+00:00
1986,2,5,22,109.0,1986-02-05 22:00:00+00:00
1986,2,5,23,131.0,1986-02-05 23:00:00+00:00
1986,2,6,0,138.0,1986-02-06 00:00:00+00:00
1986,2,6,1,152.0,1986-02-06 01:00:00+00:00
1986,2,6,2,181.0,1986-02-06 02:00:00+00:00
1986,2,6,3,213.0,1986-02-06 03:00:00+00:00
1986,2,6,4,226.0,1986-02-06 04:00:00+00:00
1986,2,6,5,219.0,1986-02-06 05:00:00+00:00
1986,2,6,6,186.0,1986-02-06 06:00:00+00:00
1986,2,6,7,162.0,1986-02-06 07:00:00+00:00
1986,2,6,8,131.0,1986-02-06 08:00:00+00:00
1986,2,6,9,139.0,1986-02-06 09:00:00+00:00
1986,2,6,10,106.0,1986-02-06 10:00:00+00:00
1986,2,6,11,102.0,1986-02-06 11:00:00+00:00
1986,2,6,12,86.0,1986-02-06 12:00:00+00:00
1986,2,6,13,91.0,1986-02-06 13:00:00+00:00
1986,2,6,14,106.0,1986-02-06 14:00:00+00:00
1986,2,6,15,134.0,1986-02-06 15:00:00+00:00
1986,2,6,16,157.0,1986-02-06 16:00:00+00:00
1986,2,6,17,171.0,1986-02-06 17:00:00+00:00
1986,2,6,18,173.0,1986-02-06 18:00:00+00:00
1986,2,6,19,168.0,1986-02-06 19:00:00+00:00
1986,2,6,20,174.0,1986-02-06 20:00:00+00:00
1986,2,6,21,182.0,1986-02-06 21:00:00+00:00
1986,2,6,22,174.0,1986-02-06 22:00:00+00:00
1986,2,6,23,171.0,1986-02-06 23:00:00+00:00
1986,2,7,0,174.0,1986-02-07 00:00:00+00:00
1986,2,7,1,184.0,1986-02-07 01:00:00+00:00
1986,2,7,2,210.0,1986-02-07 02:00:00+00:00
1986,2,7,3,238.0,1986-02-07 03:00:00+00:00
1986,2,7,4,254.0,1986-02-07 04:00:00+00:00
1986,2,7,5,250.0,1986-02-07 05:00:00+00:00
1986,2,7,6,232.0,1986-02-07 06:00:00+00:00
1986,2,7,7,216.0,1986-02-07 07:00:00+00:00
1986,2,7,8,190.0,1986-02-07 08:00:00+00:00
1986,2,7,9,163.0,1986-02-07 09:00:00+00:00
1986,2,7,10,130.0,1986-02-07 10:00:00+00:00
1986,2,7,11,102.0,1986-02-07 11:00:00+00:00
1986,2,7,12,77.0,1986-02-07 12:00:00+00:00
1986,2,7,13,66.0,1986-02-07 13:00:00+00:00
1986,2,7,14,67.0,1986-02-07 14:00:00+00:00
1986,2,7,15,77.0,1986-02-07 15:00:00+00:00
1986,2,7,16,96.0,1986-02-07 16:00:00+00:00
1986,2,7,17,110.0,1986-02-07 17:00:00+00:00
1986,2,7,18,118.0,1986-02-07 18:00:00+00:00
1986,2,7,19,120.0,1986-02-07 19:00:00+00:00
1986,2,7,20,110.0,1986-02-07 20:00:00+00:00
1986,2,7,21,104.0,1986-02-07 21:00:00+00:00
1986,2,7,22,91.0,1986-02-07 22:00:00+00:00
1986,2,7,23,85.0,1986-02-07 23:00:00+00:00
1986,2,8,0,86.0,1986-02-08 00:00:00+00:00
1986,2,8,1,85.0,1986-02-08 01:00:00+00:00
1986,2,8,2,99.0,1986-02-08 02:00:00+00:00
1986,2,8,3,112.0,1986-02-08 03:00:00+00:00
1986,2,8,4,141.0,1986-02-08 04:00:00+00:00
1986,2,8,5,170.0,1986-02-08 05:00:00+00:00
1986,2,8,6,179.0,1986-02-08 06:00:00+00:00
1986,2,8,7,179.0,1986-02-08 07:00:00+00:00
1986,2,8,8,165.0,1986-02-08 08:00:00+00:00
1986,2,8,9,149.0,1986-02-08 09:00:00+00:00
1986,2,8,10,125.0,1986-02-08 10:00:00+00:00
1986,2,8,11,107.0,1986-02-08 11:00:00+00:00
1986,2,8,12,82.0,1986-02-08 12:00:00+00:00
1986,2,8,13,66.0,1986-02-08 13:00:00+00:00
1986,2,8,14,67.0,1986-02-08 14:00:00+00:00
1986,2,8,15,70.0,1986-02-08 15:00:00+00:00
1986,2,8,16,91.0,1986-02-08 16:00:00+00:00
1986,2,8,17,125.0,1986-02-08 17:00:00+00:00
1986,2,8,18,146.0,1986-02-08 18:00:00+00:00
1986,2,8,19,154.0,1986-02-08 19:00:00+00:00
1986,2,8,20,158.0,1986-02-08 20:00:00+00:00
1986,2,8,21,154.0,1986-02-08 21:00:00+00:00
1986,2,8,22,142.0,1986-02-08 22:00:00+00:00
1986,2,8,23,136.0,1986-02-08 23:00:00+00:00
1986,2,9,0,133.0,1986-02-09 00:00:00+00:00
1986,2,9,1,128.0,1986-02-09 01:00:00+00:00
1986,2,9,2,136.0,1986-02-09 02:00:00+00:00
1986,2,9,3,149.0,1986-02-09 03:00:00+00:00
1986,2,9,4,168.0,1986-02-09 04:00:00+00:00
1986,2,9,5,195.0,1986-02-09 05:00:00+00:00
1986,2,9,6,226.0,1986-02-09 06:00:00+00:00
1986,2,9,7,237.0,1986-02-09 07:00:00+00:00
1986,2,9,8,232.0,1986-02-09 08:00:00+00:00
1986,2,9,9,218.0,1986-02-09 09:00:00+00:00
1986,2,9,10,192.0,1986-02-09 10:00:00+00:00
1986,2,9,11,162.0,1986-02-09 11:00:00+00:00
1986,2,9,12,142.0,1986-02-09 12:00:00+00:00
1986,4,1,14,122.0,1986-04-01 14:00:00+00:00
1986,4,1,15,106.0,1986-04-01 15:00:00+00:00
1986,4,1,16,104.0,1986-04-01 16:00:00+00:00
1986,4,1,17,94.0,1986-04-01 17:00:00+00:00
1986,4,1,18,99.0,1986-04-01 18:00:00+00:00
1986,4,1,19,93.0,1986-04-01 19:00:00+00:00
1986,4,1,20,98.0,1986-04-01 20:00:00+00:00
1986,4,1,21,110.0,1986-04-01 21:00:00+00:00
1986,4,1,22,141.0,1986-04-01 22:00:00+00:00
1986,4,1,23,165.0,1986-04-01 23:00:00+00:00
1986,4,2,0,173.0,1986-04-02 00:00:00+00:00
1986,4,2,1,173.0,1986-04-02 01:00:00+00:00
1986,4,2,2,146.0,1986-04-02 02:00:00+00:00
1986,4,2,3,130.0,1986-04-02 03:00:00+00:00
1986,4,2,4,109.0,1986-04-02 04:00:00+00:00
1986,4,2,5,82.0,1986-04-02 05:00:00+00:00
1986,4,2,6,67.0,1986-04-02 06:00:00+00:00
1986,4,2,7,46.0,1986-04-02 07:00:00+00:00
1986,4,2,8,42.0,1986-04-02 08:00:00+00:00
1986,4,2,9,50.0,1986-04-02 09:00:00+00:00
1986,4,2,10,75.0,1986-04-02 10:00:00+00:00
1986,4,2,11,106.0,1986-04-02 11:00:00+00:00
1986,4,2,12,118.0,1986-04-02 12:00:00+00:00
1986,4,2,13,122.0,1986-04-02 13:00:00+00:00
1986,4,2,14,125.0,1986-04-02 14:00:00+00:00
1986,4,2,15,123.0,1986-04-02 15:00:00+00:00
1986,4,2,16,115.0,1986-04-02 16:00:00+00:00
1986,4,2,17,107.0,1986-04-02 17:00:00+00:00
1986,4,2,18,104.0,1986-04-02 18:00:00+00:00
1986,4,2,19,106.0,1986-04-02 19:00:00+00:00
1986,4,2,20,109.0,1986-04-02 20:00:00+00:00
1986,4,2,21,123.0,1986-04-02 21:00:00+00:00
1986,4,2,22,136.0,1986-04-02 22:00:00+00:00
1986,4,2,23,157.0,1986-04-02 23:00:00+00:00
1986,4,3,0,179.0,1986-04-03 00:00:00+00:00
1986,4,3,1,194.0,1986-04-03 01:00:00+00:00
1986,4,3,2,194.0,1986-04-03 02:00:00+00:00
1986,4,3,3,181.0,1986-04-03 03:00:00+00:00
1986,4,3,4,150.0,1986-04-03 04:00:00+00:00
1986,4,3,5,123.0,1986-04-03 05:00:00+00:00
1986,4,3,6,98.0,1986-04-03 06:00:00+00:00
1986,4,3,7,77.0,1986-04-03 07:00:00+00:00
1986,4,3,8,56.0,1986-04-03 08:00:00+00:00
1986,4,3,9,51.0,1986-04-03 09:00:00+00:00
1986,4,3,10,56.0,1986-04-03 10:00:00+00:00
1986,4,3,11,69.0,1986-04-03 11:00:00+00:00
1986,4,3,12,91.0,1986-04-03 12:00:00+00:00
1986,4,3,13,114.0,1986-04-03 13:00:00+00:00
1986,4,3,14,128.0,1986-04-03 14:00:00+00:00
1986,4,3,15,130.0,1986-04-03 15:00:00+00:00
1986,4,3,16,115.0,1986-04-03 16:00:00+00:00
1986,4,3,17,112.0,1986-04-03 17:00:00+00:00
1986,4,3,18,110.0,1986-04-03 18:00:00+00:00
1986,4,3,19,110.0,1986-04-03 19:00:00+00:00
1986,4,3,20,110.0,1986-04-03 20:00:00+00:00
1986,4,3,21,112.0,1986-04-03 21:00:00+00:00
1986,4,3,22,118.0,1986-04-03 22:00:00+00:00
1986,4,3,23,131.0,1986-04-03 23:00:00+00:00
1986,4,4,0,147.0,1986-04-04 00:00:00+00:00
1986,4,4,1,174.0,1986-04-04 01:00:00+00:00
1986,4,4,2,184.0,1986-04-04 02:00:00+00:00
1986,4,4,3,182.0,1986-04-04 03:00:00+00:00
1986,4,4,4,171.0,1986-04-04 04:00:00+00:00
1986,4,4,5,139.0,1986-04-04 05:00:00+00:00
1986,4,4,6,110.0,1986-04-04 06:00:00+00:00
1986,4,4,7,86.0,1986-04-04 07:00:00+00:00
1986,4,4,8,72.0,1986-04-04 08:00:00+00:00
1986,4,4,9,51.0,1986-04-04 09:00:00+00:00
1986,4,4,10,46.0,1986-04-04 10:00:00+00:00
1986,4,4,11,37.0,1986-04-04 11:00:00+00:00
1986,4,4,12,54.0,1986-04-04 12:00:00+00:00
1986,4,4,13,58.0,1986-04-04 13:00:00+00:00
1986,4,4,14,80.0,1986-04-04 14:00:00+00:00
1986,4,4,15,88.0,1986-04-04 15:00:00+00:00
1986,4,4,16,110.0,1986-04-04 16:00:00+00:00
1986,4,4,17,122.0,1986-04-04 17:00:00+00:00
1986,4,4,18,104.0,1986-04-04 18:00:00+00:00
1986,4,4,19,90.0,1986-04-04 19:00:00+00:00
1986,4,4,20,86.0,1986-04-04 20:00:00+00:00
1986,4,4,21,83.0,1986-04-04 21:00:00+00:00
1986,4,4,22,91.0,1986-04-04 22:00:00+00:00
1986,4,4,23,98.0,1986-04-04 23:00:00+00:00
1986,4,5,0,106.0,1986-04-05 00:00:00+00:00
1986,4,5,1,130.0,1986-04-05 01:00:00+00:00
1986,4,5,2,163.0,1986-04-05 02:00:00+00:00
1986,4,5,3,181.0,1986-04-05 03:00:00+00:00
1986,4,5,4,181.0,1986-04-05 04:00:00+00:00
1986,4,5,5,178.0,1986-04-05 05:00:00+00:00
1986,4,5,6,155.0,1986-04-05 06:00:00+00:00
1986,4,5,7,130.0,1986-04-05 07:00:00+00:00
1986,4,5,8,114.0,1986-04-05 08:00:00+00:00
1986,4,5,9,96.0,1986-04-05 09:00:00+00:00
1986,4,5,10,93.0,1986-04-05 10:00:00+00:00
1986,4,5,11,77.0,1986-04-05 11:00:00+00:00
1986,4,5,12,74.0,1986-04-05 12:00:00+00:00
1986,4,5,13,86.0,1986-04-05 13:00:00+00:00
1987,1,1,0,99.0,1987-01-01 00:00:00+00:00
1987,1,1,1,91.0,1987-01-01 01:00:00+00:00
1987,1,1,2,88.0,1987-01-01 02:00:00+00:00
1987,1,1,3,88.0,1987-01-01 03:00:00+00:00
1987,1,1,4,93.0,1987-01-01 04:00:00+00:00
1987,1,1,5,104.0,1987-01-01 05:00:00+00:00
1987,1,1,6,123.0,1987-01-01 06:00:00+00:00
1987,1,1,7,147.0,1987-01-01 07:00:00+00:00
1987,1,1,8,165.0,1987-01-01 08:00:00+00:00
1987,1,1,9,170.0,1987-01-01 09:00:00+00:00
1987,1,1,10,160.0,1987-01-01 10:00:00+00:00
1987,1,1,11,138.0,1987-01-01 11:00:00+00:00
1987,1,1,12,112.0,1987-01-01 12:00:00+00:00
1987,1,1,13,83.0,1987-01-01 13:00:00+00:00
1987,1,1,14,56.0,1987-01-01 14:00:00+00:00
1987,1,1,15,34.0,1987-01-01 15:00:00+00:00
1987,1,1,16,15.0,1987-01-01 16:00:00+00:00
1987,1,1,17,5.0,1987-01-01 17:00:00+00:00
1987,1,1,18,8.0,1987-01-01 18:00:00+00:00
1987,1,1,19,26.0,1987-01-01 19:00:00+00:00
1987,1,1,20,45.0,1987-01-01 20:00:00+00:00
1987,1,1,21,58.0,1987-01-01 21:00:00+00:00
1987,1,1,22,66.0,1987-01-01 22:00:00+00:00
1987,1,1,23,69.0,1987-01-01 23:00:00+00:00
1987,1,2,0,69.0,1987-01-02 00:00:00+00:00
1987,1,2,1,67.0,1987-01-02 01:00:00+00:00
1987,1,2,2,64.0,1987-01-02 02:00:00+00:00
1987,1,2,3,64.0,1987-01-02 03:00:00+00:00
1987,1,2,4,67.0,1987-01-02 04:00:00+00:00
1987,1,2,5,75.0,1987-01-02 05:00:00+00:00
1987,1,2,6,93.0,1987-01-02 06:00:00+00:00
1987,1,2,7,119.0,1987-01-02 07:00:00+00:00
1987,1,2,8,146.0,1987-01-02 08:00:00+00:00
1987,1,2,9,168.0,1987-01-02 09:00:00+00:00
1987,1,2,10,176.0,1987-01-02 10:00:00+00:00
1987,1,2,11,170.0,1987-01-02 11:00:00+00:00
1987,1,2,12,151.0,1987-01-02 12:00:00+00:00
1987,1,7,13,186.0,1987-01-07 13:00:00+00:00
1987,1,7,14,194.0,1987-01-07 14:00:00+00:00
1987,1,7,15,179.0,1987-01-07 15:00:00+00:00
1987,1,7,16,160.0,1987-01-07 16:00:00+00:00
1987,1,7,17,138.0,1987-01-07 17:00:00+00:00
1987,1,7,18,123.0,1987-01-07 18:00:00+00:00
1987,1,7,19,106.0,1987-01-07 19:00:00+00:00
1987,1,7,20,98.0,1987-01-07 20:00:00+00:00
1987,1,7,21,91.0,1987-01-07 21:00:00+00:00
1987,1,7,22,104.0,1987-01-07 22:00:00+00:00
1987,1,7,23,119.0,1987-01-07 23:00:00+00:00
1987,1,8,0,141.0,1987-01-08 00:00:00+00:00
1987,1,8,1,157.0,1987-01-08 01:00:00+00:00
1987,1,8,2,155.0,1987-01-08 02:00:00+00:00
1987,1,8,3,151.0,1987-01-08 03:00:00+00:00
1987,1,8,4,133.0,1987-01-08 04:00:00+00:00
1987,1,8,5,120.0,1987-01-08 05:00:00+00:00
1987,1,8,6,106.0,1987-01-08 06:00:00+00:00
1987,1,8,7,95.0,1987-01-08 07:00:00+00:00
1987,1,8,8,91.0,1987-01-08 08:00:00+00:00
1987,1,8,9,87.0,1987-01-08 09:00:00+00:00
1987,1,8,10,87.0,1987-01-08 10:00:00+00:00
1987,1,8,11,101.0,1987-01-08 11:00:00+00:00
1987,1,8,12,119.0,1987-01-08 12:00:00+00:00
1987,1,8,13,128.0,1987-01-08 13:00:00+00:00
1987,1,8,14,141.0,1987-01-08 14:00:00+00:00
1987,1,8,15,144.0,1987-01-08 15:00:00+00:00
1987,1,8,16,136.0,1987-01-08 16:00:00+00:00
1987,1,8,17,115.0,1987-01-08 17:00:00+00:00
1987,1,8,18,103.0,1987-01-08 18:00:00+00:00
1987,1,8,19,83.0,1987-01-08 19:00:00+00:00
1987,1,8,20,69.0,1987-01-08 20:00:00+00:00
1987,1,8,21,63.0,1987-01-08 21:00:00+00:00
1987,1,8,22,71.0,1987-01-08 22:00:00+00:00
1987,1,8,23,82.0,1987-01-08 23:00:00+00:00
1987,1,9,0,103.0,1987-01-09 00:00:00+00:00
1987,1,9,1,133.0,1987-01-09 01:00:00+00:00
1987,1,9,2,157.0,1987-01-09 02:00:00+00:00
1987,1,9,3,162.0,1987-01-09 03:00:00+00:00
1987,1,9,4,171.0,1987-01-09 04:00:00+00:00
1987,1,9,5,157.0,1987-01-09 05:00:00+00:00
1987,1,9,6,141.0,1987-01-09 06:00:00+00:00
1987,1,9,7,138.0,1987-01-09 07:00:00+00:00
